id,album,score,artists,year,track count,duration,# artists mean,danceability mean,energy mean,speechiness mean,acousticness mean,instrumentalness mean,liveness mean,valence mean,duration_ms mean,duration mean,end_of_fade_in mean,start_of_fade_out mean,loudness mean,tempo mean,tempo_confidence mean,time_signature mean,time_signature_confidence mean,key mean,key_confidence mean,mode mean,mode_confidence mean,# artists std,danceability std,energy std,speechiness std,acousticness std,instrumentalness std,liveness std,valence std,duration_ms std,duration std,end_of_fade_in std,start_of_fade_out std,loudness std,tempo std,tempo_confidence std,time_signature std,time_signature_confidence std,key std,key_confidence std,mode std,mode_confidence std,# artists 50%,danceability 50%,energy 50%,speechiness 50%,acousticness 50%,instrumentalness 50%,liveness 50%,valence 50%,duration_ms 50%,duration 50%,end_of_fade_in 50%,start_of_fade_out 50%,loudness 50%,tempo 50%,tempo_confidence 50%,time_signature 50%,time_signature_confidence 50%,key 50%,key_confidence 50%,mode 50%,mode_confidence 50%
6jWde94ln40epKIQCd8XUh,Toxicity,10,System Of A Down,2001,15,2641.9200000000005,1.0,0.4556666666666667,0.8981333333333335,0.06603333333333333,0.048582400000000005,0.07618474,0.20183999999999996,0.5215333333333334,176127.93333333332,176.12800000000004,0.48564466666666667,172.7101913333333,-4.377933333333333,111.47086666666668,0.3533333333333334,3.933333333333333,0.9072666666666668,3.533333333333333,0.5424,0.6666666666666666,0.5794666666666667,0.0,0.07169445751308283,0.08904001240747784,0.033149804280108865,0.17669622500163543,0.1773590593011404,0.14345371478534213,0.23560313685356166,46209.96572859685,46.21002061912917,1.0040190758849916,43.56651158558484,2.086293927609663,25.54689466414563,0.24415325007832586,0.2581988897471611,0.1251989654605059,3.3777986632604096,0.18479131086560477,0.4879500364742666,0.07858559179706696,1.0,0.454,0.934,0.0535,0.000941,0.0025,0.182,0.512,176200.0,176.2,0.13347,176.2,-3.908,99.733,0.23,4.0,0.969,2.0,0.486,1.0,0.562
1CI5OW60s9W41YLI80Jjdr,Untrue,10,Burial,2007,13,3033.3733,1.0,0.4606153846153846,0.5282307692307692,0.14208461538461536,0.5343,0.7590769230769231,0.23094615384615386,0.32268461538461535,233336.38461538462,233.33640769230772,1.17005,224.42397307692303,-13.762307692307692,133.62876923076925,0.3258461538461539,3.3846153846153846,0.6944615384615385,4.384615384615385,0.432,0.6153846153846154,0.4545384615384615,0.0,0.23766346601218094,0.28327817713517156,0.0910451339186033,0.35150982442410716,0.22982510072460952,0.20393492677561229,0.22982932017098345,101854.8056668073,101.85478399723632,1.657202259653299,100.74789346278111,6.3770900023001005,17.64290920433214,0.29088509935306245,1.4455945454184551,0.3694689015746376,3.9272225456519423,0.2668098573891152,0.5063696835418333,0.23146260150926304,1.0,0.423,0.512,0.153,0.444,0.845,0.152,0.307,238427.0,238.42667,0.2381,232.18213,-12.286,135.12,0.17,4.0,0.97,3.0,0.453,1.0,0.441
4iyCxURICjYcIERJt85C5W,The Cold Vein (Deluxe Edition),10,Cannibal Ox,2013,30,8859.09333,1.1666666666666667,0.6027666666666668,0.733833333333333,0.1807633333333333,0.16468663000000003,0.3352274313333333,0.22735333333333332,0.5385333333333334,295303.1,295.303111,0.032840666666666664,287.40980899999994,-5.487333333333333,102.8793,0.3538666666666667,4.033333333333333,0.9303333333333335,6.033333333333333,0.46076666666666655,0.5666666666666667,0.4498999999999999,0.5306686305052324,0.10484427971284724,0.1692722930529456,0.1141883938885672,0.15321820826571259,0.3859005731239954,0.2248447414264484,0.21317691104408762,50922.1691179717,50.92211507313961,0.07061540126694706,49.50655452333144,1.3054576508492794,35.339303604509865,0.2604620209700756,0.1825741858350553,0.11092816356211961,4.147981090414563,0.2663234594576138,0.5040069329937308,0.1262016312261372,1.0,0.6114999999999999,0.7635000000000001,0.2005,0.10114999999999999,0.027950000000000003,0.124,0.5205,286667.0,286.66666,0.0,274.34087,-5.3655,87.77799999999999,0.281,4.0,0.99,7.0,0.434,1.0,0.4305
7hcefwuxgBS2mssgOtUSJy,The Woods,10,Sleater-Kinney,2005,10,2888.3866900000003,1.0,0.3486,0.9141999999999999,0.07699,0.03945648,0.09184929,0.20958000000000002,0.3412,288838.7,288.83866900000004,0.35468099999999997,279.5747,-2.2756,134.63400000000001,0.3735,4.0,0.8746000000000003,7.8,0.5054,0.5,0.4633999999999999,0.0,0.13465775548074127,0.09530512403153707,0.03960346365323787,0.10236949532616095,0.15600894952568478,0.15592133201642994,0.13815916746837886,137289.43164962763,137.2893087891753,0.27379242861254494,140.9803303902353,0.80579197756686,32.172453182463066,0.2812465308428019,0.0,0.164109177751344,4.391911757866828,0.2389198842941104,0.5270462766947299,0.1402808294497545,1.0,0.366,0.9424999999999999,0.062450000000000006,0.0073349999999999995,0.024035,0.149,0.3265,254853.5,254.85333500000002,0.362315,241.26404,-2.2344999999999997,142.187,0.322,4.0,0.9265000000000001,11.0,0.539,0.5,0.47050000000000003
4ssF0ppdJnMTtL2hg1CLKX,Give Up (Deluxe 10th Anniversary Edition),10,The Postal Service,2003,25,6264.879999999998,1.0,0.61748,0.6404799999999998,0.041027999999999995,0.24015567999999998,0.23396864,0.15788,0.431812,250595.24,250.59519999999992,0.23034199999999994,242.3341268,-8.26112,140.04196000000005,0.5131600000000001,3.96,0.96908,3.52,0.6025200000000002,0.88,0.5955199999999998,0.0,0.07416935575649376,0.18924545789353397,0.010784963297727691,0.24514952648786958,0.2964931012090725,0.10839848553677617,0.2695570290927939,59168.25931350355,59.16817908248556,0.6944586339192566,59.26944804372962,2.1456592677620865,21.251842930829945,0.27341401451522807,0.20000000000000007,0.08106320579235274,3.7094473981982814,0.2502752018612045,0.33166247903554,0.1320581058978711,1.0,0.626,0.721,0.0384,0.181,0.083,0.104,0.44,252653.0,252.65334,0.0,239.87955,-7.673,134.949,0.5,4.0,1.0,2.0,0.617,1.0,0.56
6UYZEYjpN1DYRW0kqFy9ZE,Championships,5,Meek Mill,2018,19,4164.31443,1.7894736842105263,0.6581052631578946,0.6933684210526317,0.23942631578947368,0.10066115789473684,3.7210526315789476e-07,0.2587315789473684,0.38526315789473686,219174.47368421053,219.17444368421056,0.08335947368421052,210.90937736842102,-5.4874210526315785,114.13457894736838,0.25399999999999995,4.0,0.9077894736842106,4.526315789473684,0.4152105263157894,0.631578947368421,0.4458421052631579,0.9176629354822469,0.15375337204498857,0.10808289541227953,0.10924070182707779,0.142314949245703,1.6219692384648715e-06,0.1795498879996915,0.16350733660238925,50201.33071096868,50.201430525413116,0.11664544247293848,48.86556592614407,1.2784046184291782,36.075690210253754,0.20338742449926556,0.0,0.15701435848969297,3.863913115146808,0.20598505311129534,0.49559462778335217,0.15295179456936195,2.0,0.678,0.703,0.234,0.0467,0.0,0.221,0.367,213402.0,213.40204,0.06463,200.7307,-5.398,91.035,0.206,4.0,0.986,4.0,0.451,1.0,0.476
0jDK15E80QD5ekIOlqdY7h,From Gas to Solid / you are my friend,4,Soap&Skin,2018,12,2499.5357700000004,1.0,0.3786666666666667,0.2638833333333333,0.033516666666666674,0.7516366666666666,0.25898958333333333,0.11712499999999999,0.1434,208294.58333333334,208.29464750000002,2.4663716666666664,195.8427816666667,-13.344833333333334,106.99991666666666,0.2871666666666666,4.0,0.7648333333333334,5.833333333333333,0.5383333333333334,0.75,0.6544166666666668,0.0,0.10274534568828929,0.1710686721935393,0.0043427752612467735,0.2911594104870243,0.3402798262862275,0.055015421391725175,0.06580866204383737,59126.69008687015,59.12671692673367,3.7220585279234766,58.06100272511769,2.6698032216671406,26.49146315825443,0.3310212389047878,0.4264014327112209,0.276880293574131,3.5118845842842465,0.2924350225678218,0.45226701686664544,0.20963364508474097,1.0,0.376,0.20600000000000002,0.0336,0.8995,0.09864999999999999,0.10400000000000001,0.1525,202562.5,202.56275,0.492425,188.577965,-13.421,118.20750000000001,0.08149999999999999,4.0,0.8325,7.0,0.6265000000000001,1.0,0.652
4bwDOzSh3WJSIK6Lghmb6b,Streams of Thought Vol.2,7,Black Thought,2018,9,1408.0758799999999,2.111111111111111,0.6322222222222222,0.7777777777777778,0.36811111111111106,0.16298888888888893,3.5366666666666665e-06,0.15582222222222225,0.48355555555555557,156452.77777777778,156.45287555555555,0.3330222222222222,148.80995555555558,-5.363555555555556,105.07877777777776,0.17555555555555558,4.222222222222222,0.9711111111111111,4.222222222222222,0.4381111111111111,0.5555555555555556,0.36211111111111105,0.33333333333333337,0.11460451319404678,0.12364341650263648,0.06274839528713949,0.08872467870390464,7.033334913111986e-06,0.1602418779359642,0.21153493276000015,59778.71365874683,59.77862057992391,0.7703394855642832,57.30111589917646,2.578222891407525,31.794839930316435,0.12575980191530908,0.4409585518440984,0.04424207399197184,4.521553322083513,0.1798891634065574,0.5270462766947299,0.14322311653888525,2.0,0.672,0.791,0.346,0.137,0.0,0.0942,0.533,158337.0,158.33728,0.0,154.37206,-4.57,92.604,0.152,4.0,1.0,2.0,0.38,1.0,0.356
1qsQOC4Jn0fnaUZLAbs4dz,SKINS,2,XXXTENTACION,2018,10,1187.59542,1.2,0.6348,0.375423,0.18248000000000003,0.537201,0.14927403999999997,0.16046999999999997,0.49030000000000007,118759.7,118.75954200000001,0.2881,113.301006,-9.1222,125.14049999999997,0.3844,4.1,0.9311,5.9,0.4595000000000001,0.5,0.5315,0.6324555320336759,0.11623711398114919,0.2264482858819843,0.2301630378666392,0.34465044611896267,0.30660913647818494,0.07864638227181492,0.23257402644701705,49565.13258341101,49.565101776715785,0.6334050434314875,47.408701040026685,5.499572868262892,24.32832059897819,0.2909792661571153,0.5676462121975466,0.12601362360210636,3.8715486421958962,0.3366773100627827,0.5270462766947299,0.20373962141256016,1.0,0.616,0.356,0.0761,0.622,0.00096815,0.14400000000000002,0.426,114832.5,114.832405,0.0,111.911475,-8.6855,134.765,0.3725,4.0,1.0,5.5,0.441,0.5,0.5575
0z0z4DcXhHiobX5ZKAw8Qn,STOKELEY,6,Ski Mask The Slump God,2018,13,1945.0399999999997,1.3076923076923077,0.8394615384615386,0.5139230769230768,0.2642,0.1532153846153846,4.628384615384615e-05,0.17346153846153853,0.5459230769230771,149618.53846153847,149.61846153846153,0.00464,140.58566307692308,-10.169692307692307,128.998,0.5302307692307692,4.0,0.9816923076923076,5.230769230769231,0.4519230769230769,0.6923076923076923,0.4604615384615384,0.48038446141526137,0.08157676894048471,0.09354006408883624,0.13821992138135034,0.1130675671604804,0.00015167293175000283,0.17164211574504637,0.1932577991261334,35903.767134325855,35.90368989784171,0.01672975791815291,37.44311291509725,1.3342246427929207,21.780524266723546,0.3203464670858085,0.0,0.04164009409088117,4.265244153891743,0.2739292674938981,0.48038446141526137,0.1860069960084904,1.0,0.862,0.521,0.254,0.113,0.0,0.12,0.606,147413.0,147.41333,0.0,136.52171,-10.34,140.017,0.492,4.0,1.0,5.0,0.437,1.0,0.495
